signal,category,correlation,winner_avg,loser_avg,diff,predictive
momentum_1m,CHARTIST,0.31525486261885066,59.05467070690826,44.0407989495066,15.01387175740166,True
rsi,CHARTIST,0.10789644390074016,63.59061804487335,57.323924594925,6.266693449948349,True
volatility,CHARTIST,0.040564828595811196,42.49685928246164,64.17632970802237,-21.679470425560723,False
ema_trend,CHARTIST,-0.03571594980372077,45.0,62.03125,-17.03125,False
distance_52w_high,CHARTIST,-0.1328644933976846,51.54502224116894,84.0889148266443,-32.54389258547536,False
insider_score,HUNTER,,50.0,50.0,0.0,False
net_insider_buys,HUNTER,,0.0,0.0,0.0,False
institutional_score,QUANT,,50.0,50.0,0.0,False
fundamental_score,ORACLE,,50.0,50.0,0.0,False
