ticker,forward_return,is_winner,rsi,momentum_1m,volatility,insider_score,net_insider_buys,inst_score,inst_pct
AAPL,-8.382952586096016,False,65.55081601512691,52.56494007578336,84.53759448802776,0,-32,85,7094.0
MSFT,-1.7301903254634432,False,45.36532533040373,38.5097492157225,76.748289725162,0,-29,85,7643.0
GOOGL,4.075456312667125,False,69.55373413678001,69.98520662607292,64.43353498560367,0,-19,85,6676.0
AMZN,2.864785324281205,False,62.247372576108944,36.093932637624036,72.12176009665168,0,-81,85,7206.0
NVDA,1.463707943886039,False,46.38446781212686,40.29843748284219,68.62215175181228,0,-109,85,6957.0
META,3.5036573162768203,False,70.8965286453876,57.351524838961424,70.83042212743737,0,-105,85,6301.0
TSLA,-3.5995125840306508,False,72.39523631231819,55.38192858434034,56.24262922760043,0,-46,85,4953.0
JPM,-2.486879022875821,False,55.76730512046807,46.50845772555279,69.81127902740371,0,-48,85,5872.0
JNJ,7.2383134952077155,False,62.840510160763394,64.46768238710278,83.87419233995021,1,-8,85,5235.0
V,0.847321141730073,False,52.729769529362216,42.597180545945655,84.64390100343715,0,-47,85,5612.0
PG,7.675144524298849,False,34.21401470937515,38.25907525971988,79.89261421807447,0,-36,85,4869.0
UNH,7.086524310159792,False,66.7047538433098,51.91037491994442,66.99138625415259,66,3,85,4101.0
HD,10.081734230687257,True,63.31821666285035,38.863315887645825,66.08464844286989,0,-31,85,4947.0
MA,-1.987127131487476,False,55.779149263346014,43.01869899847672,80.41055176033143,0,-77,85,4647.0
NFLX,-7.56121476157422,False,23.40818243709269,13.158638159353146,59.91089170364331,0,-74,85,4478.0
CRM,-13.03168885596957,False,82.46333442344455,66.11451124628304,65.99284739982153,0,-50,85,3853.0
INTC,4.193239211272504,False,65.3326027162122,65.31149751536125,33.67968068051957,100,5,85,2948.0
PFE,2.0694980578803257,False,60.08968590366831,52.116807964580225,74.87274337993374,50,0,85,3581.0
ABT,-10.794800148192484,False,40.06621942038541,42.992122808449686,77.77421233874387,0,-26,85,3947.0
PLTR,-10.877548849480345,False,74.39794924833251,46.805610657180274,54.093939206923444,0,-95,85,3513.0
SOFI,-4.761908114659463,False,51.569130069377984,25.056539481745975,28.05840136101294,0,-26,85,1165.0
COIN,-22.39630718329595,False,58.50534465843299,30.974301833002073,38.82274277991979,0,-75,85,1820.0
SHOP,-19.0654322286249,False,71.06351379441342,61.92902426314468,47.15791581771418,80,16,85,2339.0
ROKU,1.5565673691608772,False,71.90850726469333,47.32184606626806,55.32820428191867,0,-72,85,789.0
CRWD,-9.856795168972132,False,49.54238230388858,36.63984202535908,68.01416614828973,0,-82,85,2685.0
SNOW,-2.438235375150233,False,32.08772160430806,9.662313098684969,45.97487440645639,0,-85,85,1841.0
NET,-11.294856109823815,False,67.01498320691891,31.70675419152349,59.13673693157843,0,-82,85,1455.0
DDOG,-9.629628209303364,False,16.021647247326612,2.83533456163525,63.18645684813825,0,-87,85,1446.0
SMCI,-11.747857047450683,False,55.855867036197246,29.80423390127973,45.80276419246273,0,-30,85,1151.0
ARM,-18.93018662149697,False,58.42320835380891,39.02096845311205,67.4968064121609,50,0,85,931.0
CELH,23.170737170452526,True,59.27710544355177,52.51543216472862,45.678737173069095,0,-55,85,813.0
CAVA,17.81879649139826,True,67.90413064619494,65.5939092490879,39.3149813918542,0,-62,85,645.0
ABNB,4.562200916161285,False,73.6235998935893,58.226558337938926,68.97235175663144,0,-112,85,1718.0
