signal,category,correlation,winner_avg,loser_avg,diff,predictive
volatility,ORACLE,0.3313075763703542,66.28170200882703,59.90607688319567,6.375625125631359,True
distance_52w_high,CHARTIST,0.2848947369272493,78.12001860081234,79.54632743758182,-1.4263088367694792,False
momentum_3m,CHARTIST,0.14446223658651536,45.749318842611466,50.5509511160274,-4.801632273415933,False
momentum_1m,CHARTIST,0.12807073655373988,53.57833165891111,47.3644357691718,6.213895889739312,True
rvol,CHARTIST,0.05410392495689272,26.92322623703541,25.59066533473165,1.3325609023037615,False
volume_trend,QUANT,0.03327369999899542,32.2184595095,31.65206990077729,0.5663896087227123,False
ema_trend,CHARTIST,0.019411019073804256,55.0,62.704918032786885,-7.704918032786885,False
rsi,CHARTIST,-0.10988249403020792,55.39173061029599,59.18416888894319,-3.7924382786472037,False
macd_signal,CHARTIST,-0.3171523542891754,55.503461647572465,55.86531671843722,-0.3618550708647561,False
price_acceleration,QUANT,-0.3214025890060483,69.42350290959531,72.93319566424442,-3.509692754649109,False
